Key;Item Type;Publication Year;Author;Title;Publication Title;ISBN;ISSN;DOI;Url;Abstract Note;Date;Date Added;Date Modified;Access Date;Pages;Num Pages;Issue;Volume;Number Of Volumes;Journal Abbreviation;Short Title;Series;Series Number;Series Text;Series Title;Publisher;Place;Language;Rights;Type;Archive;Archive Location;Library Catalog;Call Number
YZDYCQTU;journalArticle;2023;"Shen, Zhangfei; Lin, Qingpeng; Yang, Xiao-Yuan; Fosuah, Elizabeth; Fu, Tian-Min";Assembly-mediated activation of the SIR2-HerA supramolecular complex for anti-phage defense;Molecular Cell;;1097-4164;10.1016/j.molcel.2023.11.007;;SIR2-HerA, a bacterial two-protein anti-phage defense system, induces bacterial death by depleting NAD+ upon phage infection. Biochemical reconstitution of SIR2, HerA, and the SIR2-HerA complex reveals a dynamic assembly process. Unlike other ATPases, HerA can form various oligomers, ranging from dimers to nonamers. When assembled with SIR2, HerA forms a hexamer and converts SIR2 from a nuclease to an NAD+ hydrolase, representing an unexpected regulatory mechanism mediated by protein assembly. Furthermore, high concentrations of ATP can inhibit NAD+ hydrolysis by the SIR2-HerA complex. Cryo-EM structures of the SIR2-HerA complex reveal a giant supramolecular assembly up to 1 MDa, with SIR2 as a dodecamer and HerA as a hexamer, crucial for anti-phage defense. Unexpectedly, the HerA hexamer resembles a spiral staircase and exhibits helicase activities toward dual-forked DNA. Together, we reveal the supramolecular assembly of SIR2-HerA as a unique mechanism for switching enzymatic activities and bolstering anti-phage defense strategies.;21/12/2023;05/08/2024 15:23;05/08/2024 15:23;;4586-4599.e5;;24;83;;Mol Cell;;;;;;;;eng;;;;;PubMed;
LWAFZJTY;journalArticle;2023;"Tang, Dongmei; Chen, Yijun; Chen, Hao; Jia, Tingting; Chen, Qiang; Yu, Yamei";Multiple enzymatic activities of a Sir2-HerA system cooperate for anti-phage defense;Molecular Cell;;1097-4164;10.1016/j.molcel.2023.11.010;;"In response to the persistent exposure to phage infection, bacteria have evolved diverse antiviral defense mechanisms. In this study, we report a bacterial two-component defense system consisting of a Sir2 NADase and a HerA helicase. Cryo-electron microscopy reveals that Sir2 and HerA assemble into a ∼1 MDa supramolecular octadecamer. Unexpectedly, this complex exhibits various enzymatic activities, including ATPase, NADase, helicase, and nuclease, which work together in a sophisticated manner to fulfill the antiphage function. Therefore, we name this defense system ""Nezha"" after a divine warrior in Chinese mythology who employs multiple weapons to defeat enemies. Our findings demonstrate that Nezha could sense phage infections, self-activate to arrest cell growth, eliminate phage genomes, and subsequently deactivate to allow for cell recovery. Collectively, Nezha represents a paradigm of sophisticated and multifaceted strategies bacteria use to defend against viral infections.";21/12/2023;05/08/2024 15:23;05/08/2024 15:23;;4600-4613.e6;;24;83;;Mol Cell;;;;;;;;eng;;;;;PubMed;
82N4YQ42;journalArticle;2020;"Ka, Donghyun; Oh, Hyejin; Park, Eunyoung; Kim, Jeong-Han; Bae, Euiyoung";Structural and functional evidence of bacterial antiphage protection by Thoeris defense system via NAD+ degradation;Nature Communications;;2041-1723;10.1038/s41467-020-16703-w;https://www.nature.com/articles/s41467-020-16703-w;The intense arms race between bacteria and phages has led to the development of diverse antiphage defense systems in bacteria. Unlike well-known restriction-modification and CRISPR-Cas systems, recently discovered systems are poorly characterized. One such system is the Thoeris defense system, which consists of two genes, thsA and thsB. Here, we report structural and functional analyses of ThsA and ThsB. ThsA exhibits robust NAD+ cleavage activity and a two-domain architecture containing sirtuin-like and SLOG-like domains. Mutation analysis suggests that NAD+ cleavage is linked to the antiphage function of Thoeris. ThsB exhibits a structural resemblance to TIR domain proteins such as nucleotide hydrolases and Toll-like receptors, but no enzymatic activity is detected in our in vitro assays. These results further our understanding of the molecular mechanism underlying the Thoeris defense system, highlighting a unique strategy for bacterial antiphage resistance via NAD+ degradation.;04/06/2020;05/08/2024 15:23;05/08/2024 15:23;05/08/2024 15:23;2816;;1;11;;Nat Commun;;;;;;;;en;2020 The Author(s);;;;www.nature.com;
6N3NFLIE;journalArticle;2019;"Cohen, Daniel; Melamed, Sarah; Millman, Adi; Shulman, Gabriela; Oppenheimer-Shaanan, Yaara; Kacen, Assaf; Doron, Shany; Amitai, Gil; Sorek, Rotem";Cyclic GMP–AMP signalling protects bacteria against viral infection;Nature;;1476-4687;10.1038/s41586-019-1605-5;https://www.nature.com/articles/s41586-019-1605-5;The cyclic GMP–AMP synthase (cGAS)–STING pathway is a central component of the cell-autonomous innate immune system in animals1,2. The cGAS protein is a sensor of cytosolic viral DNA and, upon sensing DNA, it produces a cyclic GMP–AMP (cGAMP) signalling molecule that binds to the STING protein and activates the immune response3–5. The production of cGAMP has also been detected in bacteria6, and has been shown, in Vibrio cholerae, to activate a phospholipase that degrades the inner bacterial membrane7. However, the biological role of cGAMP signalling in bacteria remains unknown. Here we show that cGAMP signalling is part of an antiphage defence system that is common in bacteria. This system is composed of a four-gene operon that encodes the bacterial cGAS and the associated phospholipase, as well as two enzymes with the eukaryotic-like domains E1, E2 and JAB. We show that this operon confers resistance against a wide variety of phages. Phage infection triggers the production of cGAMP, which—in turn—activates the phospholipase, leading to a loss of membrane integrity and to cell death before completion of phage reproduction. Diverged versions of this system appear in more than 10% of prokaryotic genomes, and we show that variants with effectors other than phospholipase also protect against phage infection. Our results suggest that the eukaryotic cGAS–STING antiviral pathway has ancient evolutionary roots that stem from microbial defences against phages.;2019-10;05/08/2024 15:24;05/08/2024 15:24;05/08/2024 15:24;691-695;;7780;574;;;;;;;;;;en;2019 The Author(s), under exclusive licence to Springer Nature Limited;;;;www.nature.com;
SDETPDGN;journalArticle;2021;"Ofir, Gal; Herbst, Ehud; Baroz, Maya; Cohen, Daniel; Millman, Adi; Doron, Shany; Tal, Nitzan; Malheiro, Daniel B. A.; Malitsky, Sergey; Amitai, Gil; Sorek, Rotem";Antiviral activity of bacterial TIR domains via immune signalling molecules;Nature;;1476-4687;10.1038/s41586-021-04098-7;https://www.nature.com/articles/s41586-021-04098-7;The Toll/interleukin-1 receptor (TIR) domain is a canonical component of animal and plant immune systems1,2. In plants, intracellular pathogen sensing by immune receptors triggers their TIR domains to generate a molecule that is a variant of cyclic ADP-ribose3,4. This molecule is hypothesized to mediate plant cell death through a pathway that has yet to be resolved5. TIR domains have also been shown to be involved in a bacterial anti-phage defence system called Thoeris6, but the mechanism of Thoeris defence remained unknown. Here we show that phage infection triggers Thoeris TIR-domain proteins to produce an isomer of cyclic ADP-ribose. This molecular signal activates a second protein, ThsA, which then depletes the cell of the essential molecule nicotinamide adenine dinucleotide (NAD) and leads to abortive infection and cell death. We also show that, similar to eukaryotic innate immune systems, bacterial TIR-domain proteins determine the immunological specificity to the invading pathogen. Our results describe an antiviral signalling pathway in bacteria, and suggest that the generation of intracellular signalling molecules is an ancient immunological function of TIR domains that is conserved in both plant and bacterial immunity.;2021-12;05/08/2024 15:24;05/08/2024 15:24;05/08/2024 15:24;116-120;;7887;600;;;;;;;;;;en;2021 The Author(s), under exclusive licence to Springer Nature Limited;;;;www.nature.com;
Q7YKCSFN;journalArticle;2021;"Tal, Nitzan; Morehouse, Benjamin R.; Millman, Adi; Stokar-Avihail, Avigail; Avraham, Carmel; Fedorenko, Taya; Yirmiya, Erez; Herbst, Ehud; Brandis, Alexander; Mehlman, Tevie; Oppenheimer-Shaanan, Yaara; Keszei, Alexander F. A.; Shao, Sichen; Amitai, Gil; Kranzusch, Philip J.; Sorek, Rotem";Cyclic CMP and cyclic UMP mediate bacterial immunity against phages;Cell;;0092-8674;10.1016/j.cell.2021.09.031;https://www.sciencedirect.com/science/article/pii/S0092867421011144;The cyclic pyrimidines 3′,5′-cyclic cytidine monophosphate (cCMP) and 3′,5′-cyclic uridine monophosphate (cUMP) have been reported in multiple organisms and cell types. As opposed to the cyclic nucleotides 3′,5′-cyclic adenosine monophosphate (cAMP) and 3′,5′-cyclic guanosine monophosphate (cGMP), which are second messenger molecules with well-established regulatory roles across all domains of life, the biological role of cyclic pyrimidines has remained unclear. Here we report that cCMP and cUMP are second messengers functioning in bacterial immunity against viruses. We discovered a family of bacterial pyrimidine cyclase enzymes that specifically synthesize cCMP and cUMP following phage infection and demonstrate that these molecules activate immune effectors that execute an antiviral response. A crystal structure of a uridylate cyclase enzyme from this family explains the molecular mechanism of selectivity for pyrimidines as cyclization substrates. Defense systems encoding pyrimidine cyclases, denoted here Pycsar (pyrimidine cyclase system for antiphage resistance), are widespread in prokaryotes. Our results assign clear biological function to cCMP and cUMP as immunity signaling molecules in bacteria.;11/11/2021;05/08/2024 15:25;05/08/2024 15:25;05/08/2024 15:25;5728-5739.e16;;23;184;;Cell;;;;;;;;;;;;;ScienceDirect;
JEP37M93;preprint;2024;"Sabonis, Dziugas; Avraham, Carmel; Lu, Allen; Herbst, Ehud; Silanskas, Arunas; Leavitt, Azita; Yirmiya, Erez; Zaremba, Mindaugas; Amitai, Gil; Kranzusch, Philip J.; Sorek, Rotem; Tamulaitiene, Giedre";TIR domains produce histidine-ADPR conjugates as immune signaling molecules in bacteria;;;;10.1101/2024.01.03.573942;https://www.biorxiv.org/content/10.1101/2024.01.03.573942v1;TIR domains are central components of pattern recognition immune proteins across all domains of life. In both bacteria and plants, TIR-domain proteins were shown to recognize pathogen invasion and then produce immune signaling molecules exclusively comprising nucleotide moieties. Here we show that the TIR domain protein of the type II Thoeris defense system in bacteria produces a unique signaling molecule comprising the amino acid histidine conjugated to ADP-ribose (His-ADPR). His-ADPR is generated in response to phage infection and activates the cognate Thoeris effector by binding a Macro domain located at the C-terminus of the effector protein. By determining the crystal structure of a ligand-bound Macro domain, we describe the structural basis for His-ADPR recognition. Our analyses furthermore reveal a family of phage proteins that bind and sequester His-ADPR signaling molecules, allowing phages to evade TIR- mediated immunity. These data demonstrate diversity in bacterial TIR signaling and reveal a new class of TIR-derived immune signaling molecules combining nucleotide and amino acid moieties.;03/01/2024;05/08/2024 15:25;05/08/2024 15:25;05/08/2024 15:25;;;;;;;;;;;;bioRxiv;;en;© 2024, Posted by Cold Spring Harbor Laboratory. This pre-print is available under a Creative Commons License (Attribution-NonCommercial-NoDerivs 4.0 International), CC BY-NC-ND 4.0, as described at http://creativecommons.org/licenses/by-nc-nd/4.0/;;;;bioRxiv;
J8T6USS6;journalArticle;2020;"Millman, Adi; Bernheim, Aude; Stokar-Avihail, Avigail; Fedorenko, Taya; Voichek, Maya; Leavitt, Azita; Oppenheimer-Shaanan, Yaara; Sorek, Rotem";Bacterial Retrons Function In Anti-Phage Defense;Cell;;1097-4172;10.1016/j.cell.2020.09.065;;"Retrons are bacterial genetic elements comprised of a reverse transcriptase (RT) and a non-coding RNA (ncRNA). The RT uses the ncRNA as template, generating a chimeric RNA/DNA molecule in which the RNA and DNA components are covalently linked. Although retrons were discovered three decades ago, their function remained unknown. We report that retrons function as anti-phage defense systems. The defensive unit is composed of three components: the RT, the ncRNA, and an effector protein. We examined multiple retron systems and show that they confer defense against a broad range of phages via abortive infection. Focusing on retron Ec48, we show evidence that it ""guards"" RecBCD, a complex with central anti-phage functions in bacteria. Inhibition of RecBCD by phage proteins activates the retron, leading to abortive infection and cell death. Thus, the Ec48 retron forms a second line of defense that is triggered if the first lines of defense have collapsed.";10/12/2020;05/08/2024 15:25;05/08/2024 15:25;;1551-1561.e12;;6;183;;Cell;;;;;;;;eng;;;;;PubMed;
8FEG7XSR;journalArticle;2021;"Duncan-Lowey, Brianna; McNamara-Bordewick, Nora K.; Tal, Nitzan; Sorek, Rotem; Kranzusch, Philip J.";Effector-mediated membrane disruption controls cell death in CBASS antiphage defense;Molecular Cell;;1097-4164;10.1016/j.molcel.2021.10.020;;Cyclic oligonucleotide-based antiphage signaling systems (CBASS) are antiviral defense operons that protect bacteria from phage replication. Here, we discover a widespread class of CBASS transmembrane (TM) effector proteins that respond to antiviral nucleotide signals and limit phage propagation through direct membrane disruption. Crystal structures of the Yersinia TM effector Cap15 reveal a compact 8-stranded β-barrel scaffold that forms a cyclic dinucleotide receptor domain that oligomerizes upon activation. We demonstrate that activated Cap15 relocalizes throughout the cell and specifically induces rupture of the inner membrane. Screening for active effectors, we identify the function of distinct families of CBASS TM effectors and demonstrate that cell death via disruption of inner-membrane integrity is a common mechanism of defense. Our results reveal the function of the most prominent class of effector protein in CBASS immunity and define disruption of the inner membrane as a widespread strategy of abortive infection in bacterial phage defense.;16/12/2021;05/08/2024 15:25;05/08/2024 15:25;;5039-5051.e5;;24;81;;Mol Cell;;;;;;;;eng;;;;;PubMed;
Y6FNAZHV;journalArticle;2022;"Johnson, Alex G.; Wein, Tanita; Mayer, Megan L.; Duncan-Lowey, Brianna; Yirmiya, Erez; Oppenheimer-Shaanan, Yaara; Amitai, Gil; Sorek, Rotem; Kranzusch, Philip J.";Bacterial gasdermins reveal an ancient mechanism of cell death;Science (New York, N.Y.);;1095-9203;10.1126/science.abj8432;;Gasdermin proteins form large membrane pores in human cells that release immune cytokines and induce lytic cell death. Gasdermin pore formation is triggered by caspase-mediated cleavage during inflammasome signaling and is critical for defense against pathogens and cancer. We discovered gasdermin homologs encoded in bacteria that defended against phages and executed cell death. Structures of bacterial gasdermins revealed a conserved pore-forming domain that was stabilized in the inactive state with a buried lipid modification. Bacterial gasdermins were activated by dedicated caspase-like proteases that catalyzed site-specific cleavage and the removal of an inhibitory C-terminal peptide. Release of autoinhibition induced the assembly of large and heterogeneous pores that disrupted membrane integrity. Thus, pyroptosis is an ancient form of regulated cell death shared between bacteria and animals.;14/01/2022;05/08/2024 15:25;05/08/2024 15:25;;221-225;;6577;375;;Science;;;;;;;;eng;;;;;PubMed;
GPGT5YTL;journalArticle;2021;"Bernheim, Aude; Millman, Adi; Ofir, Gal; Meitav, Gilad; Avraham, Carmel; Shomar, Helena; Rosenberg, Masha M.; Tal, Nir; Melamed, Sarah; Amitai, Gil; Sorek, Rotem";Prokaryotic viperins produce diverse antiviral molecules;Nature;;1476-4687;10.1038/s41586-020-2762-2;https://www.nature.com/articles/s41586-020-2762-2;Viperin is an interferon-induced cellular protein that is conserved in animals1. It has previously been shown to inhibit the replication of multiple viruses by producing the ribonucleotide 3′-deoxy-3′,4′-didehydro (ddh)-cytidine triphosphate (ddhCTP), which acts as a chain terminator for viral RNA polymerase2. Here we show that eukaryotic viperin originated from a clade of bacterial and archaeal proteins that protect against phage infection. Prokaryotic viperins produce a set of modified ribonucleotides that include ddhCTP, ddh-guanosine triphosphate (ddhGTP) and ddh-uridine triphosphate (ddhUTP). We further show that prokaryotic viperins protect against T7 phage infection by inhibiting viral polymerase-dependent transcription, suggesting that it has an antiviral mechanism of action similar to that of animal viperin. Our results reveal a class of potential natural antiviral compounds produced by bacterial immune systems.;2021-01;05/08/2024 15:26;05/08/2024 15:26;05/08/2024 15:26;120-124;;7840;589;;;;;;;;;;en;2020 The Author(s), under exclusive licence to Springer Nature Limited;;;;www.nature.com;
XZVRCFTL;journalArticle;2022;"Zhang, Tong; Tamman, Hedvig; Coppieters ’t Wallant, Kyo; Kurata, Tatsuaki; LeRoux, Michele; Srikant, Sriram; Brodiazhenko, Tetiana; Cepauskas, Albinas; Talavera, Ariel; Martens, Chloe; Atkinson, Gemma C.; Hauryliuk, Vasili; Garcia-Pino, Abel; Laub, Michael T.";Direct activation of a bacterial innate immune system by a viral capsid protein;Nature;;1476-4687;10.1038/s41586-022-05444-z;https://www.nature.com/articles/s41586-022-05444-z;Bacteria have evolved diverse immunity mechanisms to protect themselves against the constant onslaught of bacteriophages1–3. Similar to how eukaryotic innate immune systems sense foreign invaders through pathogen-associated molecular patterns4 (PAMPs), many bacterial immune systems that respond to bacteriophage infection require phage-specific triggers to be activated. However, the identities of such triggers and the sensing mechanisms remain largely unknown. Here we identify and investigate the anti-phage function of CapRelSJ46, a fused toxin–antitoxin system that protects Escherichia coli against diverse phages. Using genetic, biochemical and structural analyses, we demonstrate that the C-terminal domain of CapRelSJ46 regulates the toxic N-terminal region, serving as both antitoxin and phage infection sensor. Following infection by certain phages, newly synthesized major capsid protein binds directly to the C-terminal domain of CapRelSJ46 to relieve autoinhibition, enabling the toxin domain to pyrophosphorylate tRNAs, which blocks translation to restrict viral infection. Collectively, our results reveal the molecular mechanism by which a bacterial immune system directly senses a conserved, essential component of phages, suggesting a PAMP-like sensing model for toxin–antitoxin-mediated innate immunity in bacteria. We provide evidence that CapRels and their phage-encoded triggers are engaged in a ‘Red Queen conflict’5, revealing a new front in the intense coevolutionary battle between phages and bacteria. Given that capsid proteins of some eukaryotic viruses are known to stimulate innate immune signalling in mammalian hosts6–10, our results reveal a deeply conserved facet of immunity.;2022-12;05/08/2024 15:26;05/08/2024 15:26;05/08/2024 15:26;132-140;;7938;612;;;;;;;;;;en;2022 The Author(s);;;;www.nature.com;
2IYRZUW7;journalArticle;2022;"LeRoux, Michele; Srikant, Sriram; Teodoro, Gabriella I. C.; Zhang, Tong; Littlehale, Megan L.; Doron, Shany; Badiee, Mohsen; Leung, Anthony K. L.; Sorek, Rotem; Laub, Michael T.";The DarTG toxin-antitoxin system provides phage defence by ADP-ribosylating viral DNA;Nature Microbiology;;2058-5276;10.1038/s41564-022-01153-5;https://www.nature.com/articles/s41564-022-01153-5;Toxin-antitoxin (TA) systems are broadly distributed, yet poorly conserved, genetic elements whose biological functions are unclear and controversial. Some TA systems may provide bacteria with immunity to infection by their ubiquitous viral predators, bacteriophages. To identify such TA systems, we searched bioinformatically for those frequently encoded near known phage defence genes in bacterial genomes. This search identified homologues of DarTG, a recently discovered family of TA systems whose biological functions and natural activating conditions were unclear. Representatives from two different subfamilies, DarTG1 and DarTG2, strongly protected E. coli MG1655 against different phages. We demonstrate that for each system, infection with either RB69 or T5 phage, respectively, triggers release of the DarT toxin, a DNA ADP-ribosyltransferase, that then modifies viral DNA and prevents replication, thereby blocking the production of mature virions. Further, we isolated phages that have evolved to overcome DarTG defence either through mutations to their DNA polymerase or to an anti-DarT factor, gp61.2, encoded by many T-even phages. Collectively, our results indicate that phage defence may be a common function for TA systems and reveal the mechanism by which DarTG systems inhibit phage infection.;2022-07;05/08/2024 15:26;05/08/2024 15:26;05/08/2024 15:26;1028-1040;;7;7;;Nat Microbiol;;;;;;;;en;2022 The Author(s), under exclusive licence to Springer Nature Limited;;;;www.nature.com;
XLBX9IWG;journalArticle;2022;"Wilkinson, Martin; Wilkinson, Oliver J; Feyerherm, Connie; Fletcher, Emma E; Wigley, Dale B; Dillingham, Mark S";Structures of RecBCD in complex with phage-encoded inhibitor proteins reveal distinctive strategies for evasion of a bacterial immunity hub;eLife;;2050-084X;10.7554/eLife.83409;https://doi.org/10.7554/eLife.83409;Following infection of bacterial cells, bacteriophage modulate double-stranded DNA break repair pathways to protect themselves from host immunity systems and prioritise their own recombinases. Here, we present biochemical and structural analysis of two phage proteins, gp5.9 and Abc2, which target the DNA break resection complex RecBCD. These exemplify two contrasting mechanisms for control of DNA break repair in which the RecBCD complex is either inhibited or co-opted for the benefit of the invading phage. Gp5.9 completely inhibits RecBCD by preventing it from binding to DNA. The RecBCD-gp5.9 structure shows that gp5.9 acts by substrate mimicry, binding predominantly to the RecB arm domain and competing sterically for the DNA binding site. Gp5.9 adopts a parallel coiled-coil architecture that is unprecedented for a natural DNA mimic protein. In contrast, binding of Abc2 does not substantially affect the biochemical activities of isolated RecBCD. The RecBCD-Abc2 structure shows that Abc2 binds to the Chi-recognition domains of the RecC subunit in a position that might enable it to mediate the loading of phage recombinases onto its single-stranded DNA products.;19/12/2022;05/08/2024 15:27;05/08/2024 15:27;05/08/2024 15:27;e83409;;;11;;;;;;;;;;;;;;;eLife;
LMT65GN4;preprint;2023;"Azam, Aa Haeruman; Chihara, Kotaro; Kondo, Kohei; Nakamura, Tomohiro; Ojima, Shinjiro; Tamura, Azumi; Yamashita, Wakana; Cui, Longzhu; Takahashi, Yoshimasa; Watashi, Koichi; Kiga, Kotaro";Viruses encode tRNA and anti-retron to evade bacterial immunity;;;;10.1101/2023.03.15.532788;https://www.biorxiv.org/content/10.1101/2023.03.15.532788v1;Retrons are bacterial genetic retroelements that encode reverse transcriptase capable of producing multicopy single-stranded DNA (msDNA) and function as antiphage defense systems. Phages employ several strategies to counter the host defense systems, but no mechanisms for evading retrons are known. Here, we show that tRNATyr and Rad (retron anti-defense) of T5 phage family inhibit the defense activity of retron 78 and a broad range of retrons, respectively. The effector protein of retron 78, ptuAB, specifically degraded tRNATyr leading abortive infection, but phage countervailed this defense by supplying tRNATyr. Rad inhibited retron function by degrading noncoding RNA, the precursor of msDNA. In summary, we demonstrated that viruses encode at least two independent strategies for overcoming bacterial defense systems: anti-defense, such as Rad, and defense canceler, like tRNA.;15/03/2023;05/08/2024 15:27;05/08/2024 15:27;05/08/2024 15:27;;;;;;;;;;;;bioRxiv;;en;© 2023, Posted by Cold Spring Harbor Laboratory. This pre-print is available under a Creative Commons License (Attribution-NonCommercial-NoDerivs 4.0 International), CC BY-NC-ND 4.0, as described at http://creativecommons.org/licenses/by-nc-nd/4.0/;;;;bioRxiv;
L2ABAJEX;journalArticle;2024;"Yirmiya, Erez; Leavitt, Azita; Lu, Allen; Ragucci, Adelyn E.; Avraham, Carmel; Osterman, Ilya; Garb, Jeremy; Antine, Sadie P.; Mooney, Sarah E.; Hobbs, Samuel J.; Kranzusch, Philip J.; Amitai, Gil; Sorek, Rotem";Phages overcome bacterial immunity via diverse anti-defence proteins;Nature;;1476-4687;10.1038/s41586-023-06869-w;https://www.nature.com/articles/s41586-023-06869-w;It was recently shown that bacteria use, apart from CRISPR–Cas and restriction systems, a considerable diversity of phage resistance systems1–4, but it is largely unknown how phages cope with this multilayered bacterial immunity. Here we analysed groups of closely related Bacillus phages that showed differential sensitivity to bacterial defence systems, and discovered four distinct families of anti-defence proteins that inhibit the Gabija, Thoeris and Hachiman systems. We show that these proteins Gad1, Gad2, Tad2 and Had1 efficiently cancel the defensive activity when co-expressed with the respective defence system or introduced into phage genomes. Homologues of these anti-defence proteins are found in hundreds of phages that infect taxonomically diverse bacterial species. We show that the anti-Gabija protein Gad1 blocks the ability of the Gabija defence complex to cleave phage-derived DNA. Our data further reveal that the anti-Thoeris protein Tad2 is a ‘sponge’ that sequesters the immune signalling molecules produced by Thoeris TIR-domain proteins in response to phage infection. Our results demonstrate that phages encode an arsenal of anti-defence proteins that can disable a variety of bacterial defence mechanisms.;2024-01;05/08/2024 15:27;05/08/2024 15:27;05/08/2024 15:27;352-359;;7994;625;;;;;;;;;;en;2023 The Author(s), under exclusive licence to Springer Nature Limited;;;;www.nature.com;
LHH9U6IX;journalArticle;2022;"Leavitt, Azita; Yirmiya, Erez; Amitai, Gil; Lu, Allen; Garb, Jeremy; Herbst, Ehud; Morehouse, Benjamin R.; Hobbs, Samuel J.; Antine, Sadie P.; Sun, Zhen-Yu J.; Kranzusch, Philip J.; Sorek, Rotem";Viruses inhibit TIR gcADPR signalling to overcome bacterial defence;Nature;;1476-4687;10.1038/s41586-022-05375-9;https://www.nature.com/articles/s41586-022-05375-9;The Toll/interleukin-1 receptor (TIR) domain is a key component of immune receptors that identify pathogen invasion in bacteria, plants and animals1–3. In the bacterial antiphage system Thoeris, as well as in plants, recognition of infection stimulates TIR domains to produce an immune signalling molecule whose molecular structure remains elusive. This molecule binds and activates the Thoeris immune effector, which then executes the immune function1. We identified a large family of phage-encoded proteins, denoted here as Thoeris anti-defence 1 (Tad1), that inhibit Thoeris immunity. We found that Tad1 proteins are ‘sponges’ that bind and sequester the immune signalling molecule produced by TIR-domain proteins, thus decoupling phage sensing from immune effector activation and rendering Thoeris inactive. Tad1 can also efficiently sequester molecules derived from a plant TIR-domain protein, and a high-resolution crystal structure of Tad1 bound to a plant-derived molecule showed a unique chemical structure of 1 ′′–2′ glycocyclic ADPR (gcADPR). Our data furthermore suggest that Thoeris TIR proteins produce a closely related molecule, 1′′–3′ gcADPR, which activates ThsA an order of magnitude more efficiently than the plant-derived 1′′–2′ gcADPR. Our results define the chemical structure of a central immune signalling molecule and show a new mode of action by which pathogens can suppress host immunity.;2022-11;05/08/2024 15:27;05/08/2024 15:27;05/08/2024 15:27;326-331;;7935;611;;;;;;;;;;en;2022 The Author(s), under exclusive licence to Springer Nature Limited;;;;www.nature.com;
VZ9MWKLQ;journalArticle;2022;"Hobbs, Samuel J.; Wein, Tanita; Lu, Allen; Morehouse, Benjamin R.; Schnabel, Julia; Leavitt, Azita; Yirmiya, Erez; Sorek, Rotem; Kranzusch, Philip J.";Phage anti-CBASS and anti-Pycsar nucleases subvert bacterial immunity;Nature;;1476-4687;10.1038/s41586-022-04716-y;https://www.nature.com/articles/s41586-022-04716-y;The cyclic oligonucleotide-based antiphage signalling system (CBASS) and the pyrimidine cyclase system for antiphage resistance (Pycsar) are antiphage defence systems in diverse bacteria that use cyclic nucleotide signals to induce cell death and prevent viral propagation1,2. Phages use several strategies to defeat host CRISPR and restriction-modification systems3–10, but no mechanisms are known to evade CBASS and Pycsar immunity. Here we show that phages encode anti-CBASS (Acb) and anti-Pycsar (Apyc) proteins that counteract defence by specifically degrading cyclic nucleotide signals that activate host immunity. Using a biochemical screen of 57 phages in Escherichia coli and Bacillus subtilis, we discover Acb1 from phage T4 and Apyc1 from phage SBSphiJ as founding members of distinct families of immune evasion proteins. Crystal structures of Acb1 in complex with 3′3′-cyclic GMP–AMP define a mechanism of metal-independent hydrolysis 3′ of adenosine bases, enabling broad recognition and degradation of cyclic dinucleotide and trinucleotide CBASS signals. Structures of Apyc1 reveal a metal-dependent cyclic NMP phosphodiesterase that uses relaxed specificity to target Pycsar cyclic pyrimidine mononucleotide signals. We show that Acb1 and Apyc1 block downstream effector activation and protect from CBASS and Pycsar defence in vivo. Active Acb1 and Apyc1 enzymes are conserved in phylogenetically diverse phages, demonstrating that cleavage of host cyclic nucleotide signals is a key strategy of immune evasion in phage biology.;2022-05;05/08/2024 15:27;05/08/2024 15:27;05/08/2024 15:27;522-526;;7910;605;;;;;;;;;;en;2022 The Author(s);;;;www.nature.com;
HIQGH7FU;journalArticle;2023;"Huiting, Erin; Cao, Xueli; Ren, Jie; Athukoralage, Januka S.; Luo, Zhaorong; Silas, Sukrit; An, Na; Carion, Héloïse; Zhou, Yu; Fraser, James S.; Feng, Yue; Bondy-Denomy, Joseph";Bacteriophages inhibit and evade cGAS-like immune function in bacteria;Cell;;1097-4172;10.1016/j.cell.2022.12.041;;"A fundamental strategy of eukaryotic antiviral immunity involves the cGAS enzyme, which synthesizes 2',3'-cGAMP and activates the effector STING. Diverse bacteria contain cGAS-like enzymes that produce cyclic oligonucleotides and induce anti-phage activity, known as CBASS. However, this activity has only been demonstrated through heterologous expression. Whether bacteria harboring CBASS antagonize and co-evolve with phages is unknown. Here, we identified an endogenous cGAS-like enzyme in Pseudomonas aeruginosa that generates 3',3'-cGAMP during phage infection, signals to a phospholipase effector, and limits phage replication. In response, phages express an anti-CBASS protein (""Acb2"") that forms a hexamer with three 3',3'-cGAMP molecules and reduces phospholipase activity. Acb2 also binds to molecules produced by other bacterial cGAS-like enzymes (3',3'-cUU/UA/UG/AA) and mammalian cGAS (2',3'-cGAMP), suggesting broad inhibition of cGAS-based immunity. Upon Acb2 deletion, CBASS blocks lytic phage replication and lysogenic induction, but rare phages evade CBASS through major capsid gene mutations. Altogether, we demonstrate endogenous CBASS anti-phage function and strategies of CBASS inhibition and evasion.";16/02/2023;05/08/2024 15:28;05/08/2024 15:28;;864-876.e21;;4;186;;Cell;;;;;;;;eng;;;;;PubMed;
